Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,64,16176,12362,9625,1081,3792,4,22,119,7,9
E:\programs\JAVA WORD\src,64,16176,12362,9625,1081,3792,4,22,119,7,9
E:\programs\JAVA WORD\src\FirstCODE,4,447,371,323,34,76,0,0,0,0,0
E:\programs\JAVA WORD\src\Tayyab,3,107,69,57,0,18,0,20,41,7,9
